,,
,,
,테이블 내역,테이블 DESC
,TB_CAD001,카드 매출 내역
,TB_EVE001,이벤트 쿠폰 관리
,TB_FORTUNE,운세 관리
,TB_HIS003,매출 이력 관리
,TB_LOG001,기기 로그 관리
,TB_MST001,키오스크 계정
,TB_MST002,프린트 용지 잔량 관리
,TB_MST003,각종 코드 관리
,TB_MST004,매장 그룹 관리
,TB_MST005,푸시 알림 테스트
,TB_MST006,팝업(캐릭터) 관리
,TB_MST007,환율 관리
,TB_PUS001,푸시 알림 테스트
,TB_SAL002,매출 SUMMRY
